관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,text
금호제주리조트 아쿠아나,워터파크,제주특별자치도 서귀포시 남원읍 태위로 522-12,제주특별자치도 서귀포시 남원읍 남원리 2390,33.27264281,126.7014326,"금호제주리조트 아쿠아나는 워터파크입니다. 주소는 제주특별자치도 서귀포시 남원읍 남원리 2390이며, 위도는 33.27264281이고, 경도는 126.7014326입니다."
큰엉해안경승지,자연명소,제주특별자치도 서귀포시 남원읍 태위로 522-17,제주특별자치도 서귀포시 남원읍 남원리 2379-3,33.27334251,126.7037085,"큰엉해안경승지는 자연명소입니다. 주소는 제주특별자치도 서귀포시 남원읍 남원리 2379-3이며, 위도는 33.27334251이고, 경도는 126.7037085입니다."
코코몽 에코파크,테마파크,제주특별자치도 서귀포시 남원읍 태위로 536,제주특별자치도 서귀포시 남원읍 남원리 2380 ,33.27455804,126.7058511,"코코몽 에코파크는 테마파크입니다. 주소는 제주특별자치도 서귀포시 남원읍 남원리 2380 이며, 위도는 33.27455804이고, 경도는 126.7058511입니다."
마흐니 숲길,숲길,,제주특별자치도 서귀포시 남원읍 수망리 산203,33.37944666,126.6551931,"마흐니 숲길는 숲길입니다. 주소는 제주특별자치도 서귀포시 남원읍 수망리 산203이며, 위도는 33.37944666이고, 경도는 126.6551931입니다."
물영아리오름,오름,,제주특별자치도 서귀포시 남원읍 수망리 산 189,33.3708091,126.6935196,"물영아리오름는 오름입니다. 주소는 제주특별자치도 서귀포시 남원읍 수망리 산 189이며, 위도는 33.3708091이고, 경도는 126.6935196입니다."
양금석가옥,문화재,제주특별자치도 서귀포시 남원읍 신례로298번길 3-6,제주특별자치도 서귀포시 남원읍 신례1리 1314,33.29131729,126.6284804,"양금석가옥는 문화재입니다. 주소는 제주특별자치도 서귀포시 남원읍 신례1리 1314이며, 위도는 33.29131729이고, 경도는 126.6284804입니다."
동백포레스트,식물원+수목원,제주특별자치도 서귀포시 남원읍 생기악로 53-38,제주특별자치도 서귀포시 남원읍 신례리 1767,33.30030681,126.6361998,"동백포레스트는 식물원+수목원입니다. 주소는 제주특별자치도 서귀포시 남원읍 신례리 1767이며, 위도는 33.30030681이고, 경도는 126.6361998입니다."
이승이오름(이승악),오름,,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,33.34014394,126.6222444,"이승이오름(이승악)는 오름입니다. 주소는 제주특별자치도 서귀포시 남원읍 신례리 산 2-4이며, 위도는 33.34014394이고, 경도는 126.6222444입니다."
사라오름,오름,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.37192793,126.5708337,"사라오름는 오름입니다. 주소는 제주특별자치도 서귀포시 남원읍 신례리 산 2-1이며, 위도는 33.37192793이고, 경도는 126.5708337입니다."
휴애리 자연생활공원,자연공원,제주특별자치도 서귀포시 남원읍 신례동로 256,제주특별자치도 서귀포시 남원읍 신례리 2081,33.3093861,126.635405,"휴애리 자연생활공원는 자연공원입니다. 주소는 제주특별자치도 서귀포시 남원읍 신례리 2081이며, 위도는 33.3093861이고, 경도는 126.635405입니다."
제주 신례리 왕벚나무 자생지,천연기념물,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.33820947,126.6096904,"제주 신례리 왕벚나무 자생지는 천연기념물입니다. 주소는 제주특별자치도 서귀포시 남원읍 신례리 산 2-1이며, 위도는 33.33820947이고, 경도는 126.6096904입니다."
